iter	Passed	Remaining
724	7047	12393
725	7055	12381
726	7064	12370
727	7074	12360
728	7083	12350
729	7091	12337
730	7111	12344
731	7119	12332
732	7129	12322
733	7138	12312
734	7147	12301
735	7156	12290
736	7165	12279
737	7175	12269
738	7185	12260
739	7194	12250
740	7205	12242
741	7213	12229
742	7222	12218
743	7231	12208
744	7241	12198
745	7249	12185
746	7259	12177
747	7268	12166
748	7278	12156
749	7287	12146
750	7296	12134
751	7305	12123
752	7314	12112
753	7324	12103
754	7334	12095
755	7344	12085
756	7353	12074
757	7362	12063
758	7371	12052
759	7380	12041
760	7389	12031
761	7399	12022
762	7409	12012
763	7418	12002
764	7428	11992
765	7438	11983
766	7448	11973
767	7457	11963
768	7469	11956
769	7478	11946
770	7487	11935
771	7496	11925
772	7506	11915
773	7516	11905
774	7526	11896
775	7535	11886
776	7544	11875
777	7554	11865
778	7565	11857
779	7575	11848
780	7585	11839
781	7594	11828
782	7601	11815
783	7609	11802
784	7619	11792
785	7629	11783
786	7639	11774
787	7648	11764
788	7659	11755
789	7668	11745
790	7677	11734
791	7687	11725
792	7697	11716
793	7727	11736
794	7747	11742
795	7756	11732
796	7767	11724
797	7777	11715
798	7788	11707
799	7817	11726
800	7827	11716
801	7839	11710
802	7849	11701
803	7860	11692
804	7869	11681
805	7878	11670
806	7886	11658
807	7894	11646
808	7903	11635
809	7911	11623
810	7921	11614
811	7929	11601
812	7940	11592
813	7949	11583
814	7960	11573
815	7969	11563
816	7979	11553
817	7988	11543
818	7996	11531
819	8006	11522
820	8015	11511
821	8025	11501
822	8033	11489
823	8043	11479
824	8053	11470
825	8063	11460
826	8072	11450
827	8081	11439
828	8091	11430
829	8102	11421
830	8110	11409
831	8117	11396
832	8127	11386
833	8137	11376
834	8146	11365
835	8154	11354
836	8164	11343
837	8173	11334
838	8181	11322
839	8190	11310
840	8199	11299
841	8208	11288
842	8219	11281
843	8230	11272
844	8240	11263
845	8249	11252
846	8258	11242
847	8268	11233
848	8277	11222
849	8286	11210
850	8295	11200
851	8304	11190
852	8312	11177
853	8320	11165
854	8339	11168
855	8351	11161
856	8361	11151
857	8371	11142
858	8379	11130
859	8389	11121
860	8398	11110
861	8408	11100
862	8417	11089
863	8426	11078
864	8435	11068
865	8453	11069
866	8462	11059
867	8471	11047
868	8480	11037
869	8490	11027
870	8498	11015
871	8507	11005
872	8518	10996
873	8529	10988
874	8538	10978
875	8548	10968
876	8558	10958
877	8567	10948
878	8576	10938
879	8585	10927
880	8596	10918
881	8605	10907
882	8614	10897
883	8625	10888
884	8634	10878
885	8643	10868
886	8654	10860
887	8663	10848
888	8672	10837
889	8681	10827
890	8691	10818
891	8699	10805
892	8709	10796
893	8718	10786
894	8728	10776
895	8738	10767
896	8749	10759
897	8758	10747
898	8769	10740
899	8779	10730
900	8788	10719
901	8798	10709
902	8808	10700
903	8817	10690
904	8827	10681
905	8837	10671
906	8847	10661
907	8856	10651
908	8867	10642
909	8877	10633
910	8887	10623
911	8897	10614
912	8909	10607
913	8919	10597
914	8928	10587
915	8939	10578
916	8948	10568
917	8957	10558
918	8966	10547
919	8977	10538
920	8986	10527
921	8995	10517
922	9004	10506
923	9015	10499
924	9025	10489
925	9035	10479
926	9044	10468
927	9053	10457
928	9062	10447
929	9070	10436
930	9080	10426
931	9090	10416
932	9098	10405
933	9108	10395
934	9119	10387
935	9128	10376
936	9138	10366
937	9147	10356
938	9156	10346
939	9168	10338
940	9178	10329
941	9187	10318
942	9196	10308
943	9206	10298
944	9215	10288
945	9225	10278
946	9234	10268
947	9244	10259
948	9254	10248
949	9264	10239
950	9273	10228
951	9283	10219
952	9292	10208
953	9301	10198
954	9311	10188
955	9320	10178
956	9330	10168
957	9339	10158
958	9348	10147
959	9358	10138
960	9368	10128
961	9378	10119
962	9386	10108
963	9396	10098
964	9406	10089
965	9416	10079
966	9427	10070
967	9436	10060
968	9445	10049
969	9456	10041
970	9466	10032
971	9476	10022
972	9486	10012
973	9496	10003
974	9504	9992
975	9515	9983
976	9525	9973
977	9535	9964
978	9545	9955
979	9554	9944
980	9564	9934
981	9574	9925
982	9585	9916
983	9594	9906
984	9604	9896
985	9615	9888
986	9625	9879
987	9633	9867
988	9642	9857
989	9652	9847
990	9663	9838
991	9672	9828
992	9683	9820
993	9693	9810
994	9704	9802
995	9714	9792
996	9725	9784
997	9734	9773
998	9742	9761
999	9752	9752
1000	9761	9741
1001	9770	9731
1002	9780	9721
1003	9791	9713
1004	9800	9703
1005	9811	9694
1006	9820	9684
1007	9830	9674
1008	9840	9664
1009	9848	9653
1010	9858	9643
1011	9867	9633
1012	9876	9622
1013	9885	9613
1014	9894	9601
1015	9903	9592
1016	9913	9582
1017	9923	9572
1018	9932	9561
1019	9942	9552
1020	9952	9543
1021	9962	9533
1022	9970	9522
1023	9980	9512
1024	9990	9502
1025	9999	9492
1026	10009	9483
1027	10018	9473
1028	10026	9461
1029	10035	9451
1030	10045	9441
1031	10055	9432
1032	10066	9422
1033	10075	9413
1034	10083	9401
1035	10092	9390
1036	10102	9381
1037	10113	9373
1038	10123	9363
1039	10133	9353
1040	10142	9343
1041	10152	9333
1042	10162	9324
1043	10171	9314
1044	10181	9304
1045	10190	9294
1046	10200	9284
1047	10210	9275
1048	10220	9266
1049	10231	9257
1050	10240	9246
1051	10250	9237
1052	10260	9227
1053	10270	9217
1054	10278	9206
1055	10288	9197
1056	10296	9186
1057	10306	9176
1058	10316	9167
1059	10326	9157
1060	10335	9147
1061	10345	9137
1062	10355	9127
1063	10365	9118
1064	10374	9108
1065	10384	9098
1066	10395	9089
1067	10405	9080
1068	10415	9070
1069	10423	9059
1070	10432	9049
1071	10441	9039
1072	10452	9030
1073	10462	9020
1074	10472	9010
1075	10481	9001
1076	10491	8991
1077	10501	8981
1078	10511	8972
1079	10520	8961
1080	10530	8952
1081	10539	8942
1082	10546	8930
1083	10555	8919
1084	10563	8908
1085	10573	8898
1086	10582	8888
1087	10591	8878
1088	10601	8868
1089	10610	8858
1090	10620	8848
1091	10629	8838
1092	10638	8827
1093	10645	8816
1094	10654	8805
1095	10663	8795
1096	10671	8784
1097	10680	8774
1098	10690	8764
1099	10700	8755
1100	10710	8745
1101	10720	8735
1102	10730	8726
1103	10739	8716
1104	10749	8706
1105	10758	8696
1106	10767	8686
1107	10778	8677
1108	10789	8668
1109	10798	8658
1110	10811	8651
1111	10830	8648
1112	10838	8637
1113	10848	8628
1114	10867	8626
1115	10877	8616
1116	10888	8607
1117	10897	8597
1118	10906	8586
1119	10916	8576
1120	10926	8567
1121	10937	8558
1122	10946	8548
1123	10956	8538
1124	10965	8528
1125	10974	8518
1126	10985	8509
1127	10994	8499
1128	11004	8489
1129	11013	8479
1130	11022	8469
1131	11032	8459
1132	11042	8449
1133	11052	8440
1134	11060	8429
1135	11070	8419
1136	11079	8409
1137	11089	8399
1138	11098	8389
1139	11107	8379
1140	11129	8378
1141	11148	8375
1142	11158	8366
1143	11168	8356
